Gene	HGNC_ID
OR6S1	HGNC:15363
OR6V1	HGNC:15090
OR7A17	HGNC:8363
OR7C2	HGNC:8374
OR7D4	HGNC:8380
OR7G2	HGNC:8466
OR8A1	HGNC:8469
OR8B8	HGNC:8477
OR8G5	HGNC:19622
OR8U1	HGNC:19611
OR9Q2	HGNC:15328
OTOP1	HGNC:19656
OTOP3	HGNC:19658
OTOR	HGNC:8517
OTP	HGNC:8518
OTUD6A	HGNC:32312
OTX2	HGNC:8522
PAGE3	HGNC:4110
PANX3	HGNC:20573
PASD1	HGNC:20686
PAX1	HGNC:8615
PAX4	HGNC:8618
PBOV1	HGNC:21079
PDCL2	HGNC:29524
PDE6H	HGNC:8790
PDILT	HGNC:27338
PDX1	HGNC:6107
PDYN	HGNC:8820
PGK2	HGNC:8898
PGLYRP2	HGNC:30013
PGLYRP3	HGNC:30014
PIWIL1	HGNC:9007
PIWIL3	HGNC:18443
PKD1L3	HGNC:21716
PLA2G2E	HGNC:13414
PLA2G2F	HGNC:30040
PLA2G4E	HGNC:24791
PLAC1L	HGNC:26699
PNLIP	HGNC:9155
PNLIPRP1	HGNC:9156
PNLIPRP2	HGNC:9157
PNPLA5	HGNC:24888
POM121L12	HGNC:25369
POTEA	HGNC:33893
POTED	HGNC:23822
POTEG	HGNC:33896
POTEH	HGNC:133
POU3F4	HGNC:9217
POU4F2	HGNC:9219
POU4F3	HGNC:9220
POU5F2	HGNC:26367
PPP3R2	HGNC:9318
PRAMEF1	HGNC:28840
PRAMEF19	HGNC:24908
PRAMEF2	HGNC:28841
PRAMEF3	HGNC:14087
PRAMEF4	HGNC:31971
PRAMEF7	HGNC:28415
PRB1	HGNC:9337
PRB4	HGNC:9340
PRDM13	HGNC:13998
PRDM14	HGNC:14001
PRDM7	HGNC:9351
PRDM9	HGNC:13994
PRG3	HGNC:9363
PRLH	HGNC:17945
PRLHR	HGNC:4464
PROP1	HGNC:9455
PRSS33	HGNC:30405
PRSS37	HGNC:29211
PRSS38	HGNC:29625
PRSS41	HGNC:30715
PRSS55	HGNC:30824
PRSS58	HGNC:39125
PRY2	HGNC:21504
PSKH2	HGNC:18997
PTF1A	HGNC:23734
RAX	HGNC:18662
RAX2	HGNC:18286
RBM46	HGNC:28401
RBMXL2	HGNC:17886
RBMY1A1	HGNC:9912
RBMY1B	HGNC:23914
RBMY1D	HGNC:23915
RBMY1E	HGNC:23916
RBMY1F	HGNC:23974
RBMY1J	HGNC:23917
RBP3	HGNC:9921
RBPJL	HGNC:13761
RD3	HGNC:19689
RDH8	HGNC:14423
REG3A	HGNC:8601
RESP18	HGNC:33762
RETNLB	HGNC:20388
REXO1L1	HGNC:24660
RFPL3	HGNC:9980
RFPL4B	HGNC:33264
RFX6	HGNC:21478
RHO	HGNC:10012
RHOXF2	HGNC:30011
RNASE10	HGNC:19275
RNASE11	HGNC:19269
RNASE12	HGNC:24211
RNASE13	HGNC:25285
RNASE8	HGNC:19277
RNASE9	HGNC:20673
RND2	HGNC:18315
RNF113B	HGNC:17267
RNF17	HGNC:10060
RP1	HGNC:10263
RP1L1	HGNC:15946
RPE65	HGNC:10294
RPTN	HGNC:26809
RS1	HGNC:10457
RTP1	HGNC:28580
RTP2	HGNC:32486
RXFP2	HGNC:17318
RXFP3	HGNC:24883
S100A7A	HGNC:21657
S100G	HGNC:1436
SAGE1	HGNC:30369
SAMD7	HGNC:25394
SCGB1D1	HGNC:18395
SCN10A	HGNC:10582
SCRT2	HGNC:15952
SDR9C7	HGNC:29958
SEC14L3	HGNC:18655
SEMG2	HGNC:10743
SEPT14	HGNC:33280
SERPINA12	HGNC:18359
SERPINA7	HGNC:11583
SERPINA9	HGNC:15995
SERPINB12	HGNC:14220
SHCBP1L	HGNC:16788
SHOX	HGNC:10853
SI	HGNC:10856
SIGLECL1	HGNC:26856
SIX6	HGNC:10892
SLC10A2	HGNC:10906
SLC13A1	HGNC:10916
SLC17A2	HGNC:11019
SLC17A6	HGNC:16703
SLC18A3	HGNC:10936
SLC22A12	HGNC:17989
SLC22A13	HGNC:8494
SLC22A24	HGNC:28542
SLC22A25	HGNC:32935
SLC22A6	HGNC:10970
SLC22A8	HGNC:10972
SLC22A9	HGNC:16261
SLC25A2	HGNC:22921
SLC25A31	HGNC:25319
SLC2A2	HGNC:11006
SLC2A7	HGNC:13445
SLC32A1	HGNC:11018
SLC34A1	HGNC:11019
SLC36A3	HGNC:19659
SLC39A12	HGNC:20860
SLC6A18	HGNC:26441
SLC6A5	HGNC:11051
SLC6A7	HGNC:11054
SLC7A13	HGNC:23092
SLCO1B1	HGNC:10959
SLCO6A1	HGNC:23613
SLITRK1	HGNC:20297
SOHLH1	HGNC:27845
SOX1	HGNC:11189
SOX14	HGNC:11193
SP8	HGNC:19196
SPACA1	HGNC:14967
SPACA5	HGNC:31353
SPACA7	HGNC:29575
SPATA16	HGNC:29935
SPATA21	HGNC:28026
SPEM1	HGNC:32429
SPHAR	HGNC:16957
SPINK14	HGNC:33825
SPO11	HGNC:11250
SPPL2C	HGNC:28902
SPRR4	HGNC:23173
SSTR4	HGNC:11333
SSX3	HGNC:11337
SSX5	HGNC:11339
SSX7	HGNC:19653
SSX8	HGNC:19654
SSX9	HGNC:19655
STATH	HGNC:11369
SULT6B1	HGNC:33433
SUN5	HGNC:16252
T	HGNC:11515
TAAR1	HGNC:17734
TAAR2	HGNC:4514
TAAR5	HGNC:30236
TAAR6	HGNC:20978
TAAR8	HGNC:14964
TAAR9	HGNC:20977
TAS1R2	HGNC:14905
TAS2R1	HGNC:14909
TAS2R13	HGNC:14919
TAS2R16	HGNC:14921
TAS2R39	HGNC:18886
TAS2R40	HGNC:18885
TAS2R41	HGNC:18883
TAS2R42	HGNC:18888
TAS2R43	HGNC:18875
TAS2R46	HGNC:18877
TAS2R50	HGNC:18882
TAS2R60	HGNC:20639
TAS2R7	HGNC:14913
TAS2R8	HGNC:14915
TAS2R9	HGNC:14917
TBC1D21	HGNC:28536
TBC1D29	HGNC:24509
TBL1Y	HGNC:18502
TBPL2	HGNC:19841
TBR1	HGNC:11590
TBX10	HGNC:11593
TCEB3B	HGNC:30771
TCEB3C	HGNC:24617
TCHHL1	HGNC:31796
TCP10L2	HGNC:21254
TEDDM1	HGNC:30233
TEX101	HGNC:30722
TEX13A	HGNC:11735
TEX28	HGNC:2563
TEX34	HGNC:26349
TFAP2D	HGNC:15581
TFDP3	HGNC:24603
TGIF2LX	HGNC:18570
TGIF2LY	HGNC:18569
TGM6	HGNC:16255
TKTL2	HGNC:25313
TLX1	HGNC:5056
TMEM132D	HGNC:29411
TMEM174	HGNC:28187
TMEM207	HGNC:33705
TMEM225	HGNC:32390
TMIGD1	HGNC:32431
TMPRSS11A	HGNC:27954
TMPRSS11B	HGNC:25398
TMPRSS11F	HGNC:29994
TMPRSS12	HGNC:28779
TMPRSS15	HGNC:9490
TNR	HGNC:11953
TPD52L3	HGNC:23382
TPH2	HGNC:20692
TPRX1	HGNC:32174
TPTE	HGNC:12023
TREML4	HGNC:30807
TRHR	HGNC:12299
